,RIC,name
1128,IPAR.PA,INTERPARFUMS ORD
1133,JYSK.CO,JYSKE BANK ORD
1140,KOG.OL,KONGSBERG GRUPPEN ORD
1187,P911_p.DE,DR ING HC F PORSCHE AG PREF
1189,PGS.OL^G24,PGS ORD
1217,SBBb.ST,SAMHALLSBYGGNADSBOLAGET I NORDEN AB
1240,SSABBH.HE,SSAB ORD
1260,TOKMAN.HE,TOKMANNI GROUP CORPORATION ORD SHS
1276,VAR.OL,VAR ENERGI ASA ORD
1278,VGP1.BR,VGP ORD
1291,VU.PA,SES IMAGOTAG ORD
1324,ALLFG.AS,ALLFUNDS GROUP LTD ORD
1336,ARGAN.PA,ARGAN ORD
1360,BORR.OL^A25,BORR DRILLING LTD ORD
1368,CBKG.DE,COMMERZBANK AG
1369,CBLP.PA,MERSEN ORD
1370,CHBE.PA,BENETEAU ORD
1389,DSFIR.AS,
1438,HAFNI.OL,HAFNIA LTD ORD
1439,HAUTO.OL,HOEGH AUTOLINERS ORD SHS
1450,IDLA.PA,ID LOGISTICS GR ORD
1473,LECS.PA,LECTRA SYSTEMS ORD
1504,NIBEb.ST,NIBE INDUSTRIER ORD
1534,RHMG.DE,RHEINMETALL ORD
1579,SYENS.BR,SYENSQO ORD SHS
1611,VLAN.AS,VAN LANSCHOTKEMPEN NV ORD
1615,VLTSA.PA,VOLTALIA ORD
1628,XFAB.PA,X FAB SILICON FOUNDRIES ORD
1675,AZE.BR,AZELIS CORPORATE SERVICES NV ORD
1737,ESSF.PA,ESSO SOCIETE ANONYME FRANCAISE ORD
1803,LOTB.BR,LOTUS BAKERIES ORD
1808,MANTA.HE,MANDATUM PLC ORD
1809,MAUP.PA,MAUREL ET PROM ORD
1811,MEDCL.PA,MEDINCELL SA ORD
1835,NKT.CO,NKT ORD
1852,PLNW.PA,PLANISWARE SA ORD
1853,PLX.PA,PLUXEE ORD SHS
1871,SAABb.ST,SAAB ORD
1953,WAWI.OL,WALLENIUS WILHELMSEN ASA ORD
1961,ZELA.CO,ZEALAND PHARMA ORD
